ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
22880256.0 13246464.0 68640768.0 137281536.0 29302784.0 19668992.0 87908352.0 175816704.0 6422528.0
4867072.0 2659328.0 14601216.0 29202432.0 5669888.0 3462144.0 17009664.0 34019328.0 1204224.0
4290048.0 2483712.0 12870144.0 25740288.0 5494272.0 3687936.0 16482816.0 32965632.0 0
2577792.0 1373568.0 7733376.0 15466752.0 2878848.0 1674624.0 8636544.0 17273088.0 602112.0
1831424.0 1028608.0 5494272.0 10988544.0 2232832.0 1430016.0 6698496.0 13396992.0 0
1831424.0 1028608.0 5494272.0 10988544.0 2232832.0 1430016.0 6698496.0 13396992.0 0
1260672.0 658560.0 3782016.0 7564032.0 1361024.0 758912.0 4083072.0 8166144.0 401408.0
1718528.0 915712.0 5155584.0 10311168.0 1919232.0 1116416.0 5757696.0 11515392.0 0
1718528.0 915712.0 5155584.0 10311168.0 1919232.0 1116416.0 5757696.0 11515392.0 0
1718528.0 915712.0 5155584.0 10311168.0 1919232.0 1116416.0 5757696.0 11515392.0 0
2119936.0 1116416.0 6359808.0 12719616.0 2320640.0 1317120.0 6961920.0 13923840.0 1204224.0
3782016.0 1975680.0 11346048.0 22692096.0 4083072.0 2276736.0 12249216.0 24498432.0 0
3782016.0 1975680.0 11346048.0 22692096.0 4083072.0 2276736.0 12249216.0 24498432.0 0
2601312.0 1321824.0 7803936.0 15607872.0 2676576.0 1397088.0 8029728.0 16059456.0 752640.0
2579360.0 1324960.0 7738080.0 15476160.0 2704800.0 1450400.0 8114400.0 16228800.0 0
2579360.0 1324960.0 7738080.0 15476160.0 2704800.0 1450400.0 8114400.0 16228800.0 0
3833760.0 1952160.0 11501280.0 23002560.0 3959200.0 2077600.0 11877600.0 23755200.0 2508800.0
