r_k3 r_k5 r_k7 r_k3 r_k5 r_k7 ir_k5_e3 ir_k5_e6 skip
1867776.0 1081344.0 5603328.0 11206656.0 2392064.0 1605632.0 7176192.0 14352384.0 524288.0
802816.0 475136.0 2408448.0 4816896.0 1064960.0 737280.0 3194880.0 6389760.0 393216.0
1400832.0 811008.0 4202496.0 8404992.0 1794048.0 1204224.0 5382144.0 10764288.0 0
841728.0 448512.0 2525184.0 5050368.0 940032.0 546816.0 2820096.0 5640192.0 196608.0
598016.0 335872.0 1794048.0 3588096.0 729088.0 466944.0 2187264.0 4374528.0 0
598016.0 335872.0 1794048.0 3588096.0 729088.0 466944.0 2187264.0 4374528.0 0
411648.0 215040.0 1234944.0 2469888.0 444416.0 247808.0 1333248.0 2666496.0 131072.0
561152.0 299008.0 1683456.0 3366912.0 626688.0 364544.0 1880064.0 3760128.0 0
561152.0 299008.0 1683456.0 3366912.0 626688.0 364544.0 1880064.0 3760128.0 0
561152.0 299008.0 1683456.0 3366912.0 626688.0 364544.0 1880064.0 3760128.0 0
692224.0 364544.0 2076672.0 4153344.0 757760.0 430080.0 2273280.0 4546560.0 393216.0
1234944.0 645120.0 3704832.0 7409664.0 1333248.0 743424.0 3999744.0 7999488.0 0
1234944.0 645120.0 3704832.0 7409664.0 1333248.0 743424.0 3999744.0 7999488.0 0
849408.0 431616.0 2548224.0 5096448.0 873984.0 456192.0 2621952.0 5243904.0 245760.0
842240.0 432640.0 2526720.0 5053440.0 883200.0 473600.0 2649600.0 5299200.0 0
842240.0 432640.0 2526720.0 5053440.0 883200.0 473600.0 2649600.0 5299200.0 0
1251840.0 637440.0 3755520.0 7511040.0 1292800.0 678400.0 3878400.0 7756800.0 819200.0
