ir_k3_e1 ir_k3_s2 ir_k3_e3 ir_k3_e6 ir_k5_e1 ir_k5_s2 ir_k5_e3 ir_k5_e6 skip
1984 1216 5888 11744 2496 1728 7424 14816 544
896 576 2592 5136 1152 832 3360 6672 432
1512 936 4440 8832 1896 1320 5592 11136 0
1720 1048 5032 10000 2104 1432 6184 12304 832
2528 1504 7456 14848 3040 2016 8992 17920 0
2528 1504 7456 14848 3040 2016 8992 17920 0
3616 2080 10592 21056 4128 2592 12128 24128 2176
9152 5056 27200 54272 10176 6080 30272 60416 0
9152 5056 27200 54272 10176 6080 30272 60416 0
9152 5056 27200 54272 10176 6080 30272 60416 0
11264 6144 33408 66624 12288 7168 36480 72768 6336
19872 10656 59232 118272 21408 12192 63840 127488 0
19872 10656 59232 118272 21408 12192 63840 127488 0
26144 13856 77792 155264 27680 15392 82400 164480 15680
53600 28000 160160 320000 56160 30560 167840 335360 0
53600 28000 160160 320000 56160 30560 167840 335360 0
79520 41120 237280 473920 82080 43680 244960 489280 51840
